2025-07-07 08:48:09,202 p=46657 u=gpadmin n=ansible | Starting galaxy collection install process
2025-07-07 08:48:09,378 p=46657 u=gpadmin n=ansible | Nothing to do. All requested collections are already installed. If you want to reinstall them, consider using `--force`.
2025-07-07 08:48:14,045 p=46713 u=gpadmin n=ansible | playbook: site.yml
2025-07-07 08:48:26,723 p=46816 u=gpadmin n=ansible | PLAY [Deploy Ray Cluster - Common Setup] **************************************************
2025-07-07 08:48:26,733 p=46816 u=gpadmin n=ansible | TASK [Gathering Facts] ********************************************************************
2025-07-07 08:48:26,978 p=46816 u=gpadmin n=ansible | [WARNING]: Unhandled error in Python interpreter discovery for host MASTER: Failed to
connect to the host via ssh: ssh: connect to host 192.168.40.240 port 22: Connection
refused

2025-07-07 08:48:26,995 p=46816 u=gpadmin n=ansible | fatal: [MASTER]: UNREACHABLE! => {"changed": false, "msg": "Data could not be sent to remote host \"192.168.40.240\". Make sure this host can be reached over ssh: ssh: connect to host 192.168.40.240 port 22: Connection refused\r\n", "unreachable": true}
2025-07-07 08:48:27,139 p=46816 u=gpadmin n=ansible | [WARNING]: Unhandled error in Python interpreter discovery for host G-244: Failed to
connect to the host via ssh: Warning: Permanently added '192.168.40.244' (ED25519) to the
list of known hosts.  gpadmin@192.168.40.244: Permission denied (publickey,password).

2025-07-07 08:48:27,143 p=46816 u=gpadmin n=ansible | [WARNING]: Unhandled error in Python interpreter discovery for host G-243: Failed to
connect to the host via ssh: Warning: Permanently added '192.168.40.243' (ED25519) to the
list of known hosts.  gpadmin@192.168.40.243: Permission denied (publickey,password).

2025-07-07 08:48:27,216 p=46816 u=gpadmin n=ansible | [WARNING]: Unhandled error in Python interpreter discovery for host G-242: Failed to
connect to the host via ssh: Warning: Permanently added '192.168.40.242' (ED25519) to the
list of known hosts.  gpadmin@192.168.40.242: Permission denied (publickey,password).

2025-07-07 08:48:27,243 p=46816 u=gpadmin n=ansible | [WARNING]: Unhandled error in Python interpreter discovery for host G-241: Failed to
connect to the host via ssh: gpadmin@192.168.40.241: Permission denied
(publickey,password).

